"code_commune","nom_commune","departement","population","nb_cambriolages","taux_pour_mille"
"12204","La Roque-Sainte-Marguerite","12",182,0,0
"12207","Rullac-Saint-Cirq","12",340,0,0
"12208","Saint-Affrique","12",7941,14,2.6170765
"12211","Saint-André-de-Vézines","12",130,0,0
"12212","Saint-Beaulize","12",107,0,0
"12213","Saint-Beauzély","12",550,0,0
"12221","Saint-Félix-de-Lunel","12",387,0,0
"12222","Saint-Félix-de-Sorgues","12",204,0,0
"12226","Saint-Hippolyte","12",428,0,0
"14096","Brémoy","14",262,0,0
"14098","Bretteville-l'Orgueilleuse",NA,6182,5,1.9025875
"14101","Bretteville-sur-Odon","14",4494,18,8.1864811
"14107","Bricqueville","14",151,0,0
"14111","Bucéels","14",456,0,0
"14116","Le Bû-sur-Rouvres","14",119,0,0
"14117","Cabourg","14",3725,5,0.4531484
"14118","Caen","14",109400,265,3.7390752
"14121","Cahagnolles","14",252,0,0
"14122","La Caine","14",159,0,0
"14126","Cambremer","14",1294,5,6.5287631
"14127","Campagnolles","14",562,0,0
"14136","Cardonville","14",90,0,0
"14137","Carpiquet","14",3428,5,3.2271302
"14138","Cartigny-l'Épinay","14",300,0,0
"14141","Castillon-en-Auge","14",166,0,0
"14145","Cauvicourt","14",564,0,0
"14146","Cauville","14",170,0,0
"14160","Cintheaux","14",170,0,0
"14167","Colombelles","14",7243,13,3.8495706
"14169","Colombiers-sur-Seulles","14",152,0,0
"14171","Combray","14",153,0,0
"14174","Condé-sur-Noireau",NA,5985,9,2.4834437
"14175","Condé-sur-Seulles","14",302,0,0
"14179","Cordebugle","14",160,0,0
"14180","Cordey","14",154,0,0
"14181","Cormelles-le-Royal","14",5377,11,4.6022894
"14183","Cossesseville","14",103,0,0
"14195","Courvaudon","14",291,0,0
"14198","Cresseveuille","14",257,0,0
"14216","Damblainville","14",227,0,0
"14220","Deauville","14",3539,23,2.5465013
"14225","Dives-sur-Mer","14",5122,12,2.5752526
"14239","Englesqueville-la-Percée","14",92,0,0
"14243","Équemauville","14",1574,6,4.9627792
"14250","Esquay-sur-Seulles","14",299,0,0
"14251","Esson","14",576,0,0
"14258","Falaise","14",7680,7,1.560977
"14269","Fierville-les-Parcs","14",237,0,0
"14272","La Folie","14",108,0,0
"14283","Fourches","14",215,0,0
"14285","Le Fournet","14",77,0,0
"14288","Le Fresne-Camilly","14",951,0,0
"14301","Giberville","14",5077,7,3.090334
"14322","Guéron","14",247,0,0
"14327","Hérouville-Saint-Clair","14",23470,32,2.6731319
"14333","Honfleur","14",6640,26,4.4311642
"14341","Ifs","14",11937,32,5.8489328
"14342","Isigny-sur-Mer",NA,3543,10,4.6533271
"14343","Les Isles-Bardel","14",73,0,0
"14344","Janville","14",382,0,0
"14345","Jort","14",303,0,0
"14348","Juvigny-sur-Seulles","14",77,0,0
"14353","Landes-sur-Ajon","14",451,0,0
"14362","Lessard-et-le-Chêne","14",152,0,0
"14366","Lisieux","14",19645,49,4.0715124
"14369","Litteau","14",271,0,0
"14371","Livarot",NA,6207,19,5.145018
"14379","Longvillers","14",353,0,0
"14380","Loucelles","14",221,0,0
"14383","Louvigny","14",2612,9,7.7053413
"14385","Magny-en-Bessin","14",164,0,0
"14393","Maizet","14",360,0,0
"14394","Maizières","14",437,0,0
"14397","Mandeville-en-Bessin","14",303,0,0
"14400","Le Manoir","14",195,0,0
"14401","Manvieux","14",129,0,0
"14404","Martainville","14",116,0,0
"14408","May-sur-Orne",NA,4529,9,4.6035806
"14411","Meslay","14",338,0,0
"14412","Le Mesnil-au-Grain","14",74,0,0
"14424","Le Mesnil-Robert","14",181,0,0
"14425","Le Mesnil-Simon","14",158,0,0
"14430","Meuvaines","14",136,0,0
"14431","Mézidon-Canon",NA,9766,13,2.7710394
"14437","Mondeville","14",10331,28,5.0745413
"14445","Montfiquet","14",81,0,0
"14455","Moulines","14",272,0,0
"14456","Moult",NA,3441,6,4.4767719
"14461","Mutrécy","14",593,0,0
"14469","Norrey-en-Auge","14",93,0,0
"14474","Notre-Dame-d'Estrées-Corbon","14",185,0,0
"14478","Orbec","14",1975,6,4.5794754
"14482","Ouézy","14",227,0,0
"14483","Ouffières","14",200,0,0
"14488","Ouistreham","14",9212,13,1.8458976
"14496","Périgny","14",58,0,0
"14497","Perrières","14",332,0,0
"14502","Pierrepont","14",83,0,0
"14509","Plumetot","14",200,0,0
"14510","La Pommeraye","14",66,0,0
"14511","Pont-Bellanger","14",60,0,0
"14512","Pontécoulant","14",71,0,0
"14514","Pont-l'Évêque","14",5145,18,6.3897764
"14519","Préaux-Bocage","14",107,0,0
"14531","Rapilly","14",44,0,0
"14535","Reviers","14",627,0,0
"14536","La Rivière-Saint-Sauveur","14",2527,11,7.2630796
"14557","Saint-Arnoult","14",1092,5,5.0549981
"14569","Sainte-Croix-sur-Mer","14",243,0,0
"14578","Saint-Gatien-des-Bois","14",1295,10,10.8573001
"14586","Saint-Germain-du-Pert","14",148,0,0
"14590","Sainte-Honorine-de-Ducy","14",136,0,0
"14595","Saint-Jean-de-Livet","14",229,0,0
"14602","Saint-Lambert","14",262,0,0
"14607","Saint-Louet-sur-Seulles","14",148,0,0
"14613","Saint-Marcouf","14",84,0,0
"14622","Saint-Martin-de-Blagny","14",118,0,0
"14635","Saint-Omer","14",191,0,0
"14640","Saint-Pair","14",245,0,0
"14652","Saint-Pierre-du-Mont","14",72,0,0
"14654","Saint-Pierre-sur-Dives",NA,7100,22,5.3522198
"14658","Saint-Sever-Calvados",NA,4207,5,1.9735702
"14669","Sassy","14",217,0,0
"14674","Soignolles","14",115,0,0
"14677","Soulangy","14",249,0,0
"14689","Thury-Harcourt",NA,3600,5,2.7650184
"14699","Touques","14",3913,11,3.6502113
"14701","Tourgéville","14",846,10,4.0567951
"14705","Tournières","14",148,0,0
"14708","Tracy-Bocage","14",312,0,0
"14710","Tréprel","14",112,0,0
"14713","Montillières-sur-Orne","14",557,0,0
"14715","Trouville-sur-Mer","14",4619,27,2.9556522
"14724","Varaville","14",1022,5,3.3408815
"14726","Vassy",NA,5696,8,2.5990954
"14741","Le Vey","14",139,0,0
"14754","Villers-sur-Mer","14",2440,5,0.5287583
